idx,time,x,y,z,angle1,angle2,angle3,target_x,target_y,target_z,target_angle1,target_angle2,target_angle3
13,14:50:13,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:14,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:14,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:15,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:16,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:16,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:17,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:17,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:18,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:18,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:19,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:20,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:20,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:21,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:21,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:22,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:22,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:23,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:23,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:24,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:25,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:25,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:26,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:26,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:27,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:27,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:28,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:29,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:29,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:30,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:30,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:31,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:31,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:32,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:33,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:33,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:34,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:34,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:35,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:35,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:36,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:37,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:37,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
13,14:50:38,200.4,-16.0,298.9,0.21,0.28,0.08,200,-15,300,0,0,0
